Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8128809335482055,0.03914286303668391,0.5336576552680843,0.32368526142605103,8.862243501719963,0.2552854851043473
2,0.9347839227697468,0.025418968751861903,0.5738241383383946,0.5085029928394444,16.70424294188424,0.44911020202562213
3,0.9881228024129709,0.01842271770396944,0.5439369854347482,0.5313838803307127,18.825178676697643,0.4790347559998433
4,0.9992135001150942,0.017961033269022052,0.5507978035600146,0.5381746355341285,19.78912013004763,0.5113841158648332
5,1.0142807694429852,0.016274317703852997,0.503175391446161,0.5094298335399416,18.920942628540452,0.5190158089001974
6,0.9992025604564182,0.0164837413133014,0.43615909287942706,0.4240330748630492,19.87874073347615,0.5226537619406978
7,0.9952832534168307,0.015376126578911234,0.37420393152790177,0.368086731993691,18.240538769171106,0.5168168311938643
8,0.9945995208308183,0.01590636598553447,0.3675355220697203,0.3591844500099098,18.112892023450513,0.524747590534389
9,0.9858553972033506,0.016427999693715112,0.3895931012722669,0.37388154778691285,18.51696383747219,0.5293798331792156
10,0.9816456186178639,0.014004395718979571,0.45324303326685783,0.43622040574063253,20.531369372508912,0.5571371242403984
11,0.9936293990572513,0.013103527931794937,0.41067056329869434,0.386314689553245,21.097110010733225,0.5651410929858685
12,1.005896229506856,0.013297705761882482,0.29501002771749024,0.296527604981022,21.01808309931974,0.5659569750229517
13,1.0000515287093694,0.012896168000419825,0.37180782088917264,0.38372053750970747,21.278673488600433,0.5868726468955477
14,1.0023520291839516,0.012539823646579988,0.3922142212232832,0.3803365767990028,20.991717803809745,0.5835537587602934
15,0.9982154916004581,0.011461594440454607,0.28081149842528347,0.275128195414227,21.10137516393163,0.5884511151040593
16,0.9934538328845198,0.011971957635813655,0.252804386385238,0.24746794911379313,21.159169124713458,0.5989102519427737
17,1.0035678108752761,0.011955645979891495,0.3329879138021838,0.3425509716265768,20.542155037746568,0.6001370198403796
18,0.9924186958133845,0.011241971167288103,0.37440905590742335,0.372105356178231,21.681183491908108,0.6085052667185664
19,1.0002449287235406,0.011011783039783904,0.4370145439772316,0.4331421572200501,21.841890188597027,0.611310450049738
20,1.0040471100675468,0.010850625155874379,0.4645427308359199,0.4682569138252933,21.336017610437658,0.5999391392494241
21,1.0023029351102712,0.010744097008683734,0.48966318062655834,0.49129166767742094,21.93623022007143,0.6165562433501085
22,1.007617112944798,0.010492319253515143,0.5159603077403748,0.5231197289011097,22.100101474375286,0.619310972901682
23,1.0009304005796738,0.01065655147749416,0.5575486619169541,0.5530949292261956,20.28535647652842,0.604232508999606
24,0.9910445051298615,0.010471200115608247,0.571279131773427,0.5551972995146862,22.010333728343415,0.6225027718270818
25,0.9925769404153139,0.010396289196668079,0.59459609827284,0.5885678464536509,20.086471091146198,0.5990658843268951
26,0.9971489289847527,0.01144948479467334,0.6200280628810272,0.6170791796557811,21.258455128844332,0.617583477559189
27,0.9989942007960535,0.01021196018513395,0.6889348406818031,0.6877999954131426,21.305250692980216,0.6283808195342621
